Id,SalePrice
1461,123671.89
1462,223078.81
1463,185176.08
1464,194548.72
1465,174633.7
1466,176104.03
1467,168585.89
1468,162487.89
1469,174942.58
1470,131102.48
1471,224605.86
1472,89502.164
1473,94959.4
1474,146223.1
1475,99851.59
1476,348115.97
1477,239330.92
1478,268746.78
1479,286823.9
1480,553643.4
1481,330872.2
1482,200919.5
1483,169041.48
1484,157988.36
1485,164395.2
1486,195002.7
1487,400147.94
1488,222430.7
1489,197970.19
1490,244949.78
1491,188145.02
1492,105033.02
1493,220516.81
1494,269505.0
1495,290332.66
1496,245889.27
1497,167661.61
1498,172460.89
1499,151265.56
1500,158315.72
1501,186412.86
1502,159432.23
1503,320495.9
1504,215474.3
1505,243780.2
1506,183967.05
1507,285408.22
1508,175458.17
1509,147912.42
1510,151038.86
1511,146967.14
1512,180727.67
1513,131577.53
1514,143180.3
1515,157292.67
1516,161583.42
1517,167515.61
1518,148226.7
1519,209813.23
1520,133637.75
1521,141643.95
1522,185626.72
1523,111318.22
1524,119839.73
1525,124880.76
1526,105803.414
1527,111409.83
1528,131860.6
1529,147302.33
1530,171837.73
1531,138363.61
1532,115121.76
1533,163746.39
1534,124174.234
1535,162141.17
1536,102658.69
1537,83792.47
1538,135564.1
1539,186659.73
1540,113746.29
1541,148345.7
1542,143643.45
1543,149196.33
1544,83658.57
1545,97708.1
1546,128987.664
1547,131453.78
1548,129094.33
1549,121121.61
1550,115865.8
1551,128240.27
1552,163056.55
1553,162756.64
1554,113997.11
1555,189239.05
1556,98628.84
1557,118885.945
1558,109853.26
1559,125694.58
1560,137408.42
1561,143401.97
1562,128673.51
1563,126404.516
1564,188548.47
1565,171544.64
1566,204887.25
1567,86668.125
1568,271867.94
1569,125357.54
1570,140979.8
1571,116370.29
1572,149293.1
1573,211113.88
1574,146820.95
1575,280471.38
1576,264389.56
1577,174426.11
1578,140540.77
1579,141701.75
1580,189399.55
1581,149202.33
1582,127640.13
1583,336121.2
1584,226147.83
1585,144271.67
1586,61535.934
1587,103562.88
1588,156683.1
1589,111120.914
1590,134636.28
1591,102607.3
1592,128839.99
1593,125216.05
1594,163670.88
1595,130578.32
1596,184084.08
1597,198769.86
1598,172114.2
1599,157184.28
1600,152100.81
1601,76138.57
1602,122430.195
1603,99482.43
1604,276591.88
1605,241130.86
1606,157056.58
1607,190667.33
1608,207431.6
1609,175840.94
1610,155678.19
1611,138926.58
1612,196540.86
1613,172345.14
1614,140703.78
1615,92659.57
1616,85152.305
1617,98071.44
1618,129918.305
1619,133392.08
1620,166047.48
1621,139663.1
1622,147549.55
1623,241053.5
1624,256249.55
1625,128069.695
1626,165711.86
1627,199742.58
1628,283047.88
1629,171438.05
1630,391480.47
1631,190024.7
1632,214881.31
1633,170056.53
1634,173018.94
1635,181603.7
1636,156485.52
1637,239840.73
1638,182338.94
1639,176863.92
1640,247257.64
1641,174966.81
1642,213366.78
1643,209841.8
1644,189248.11
1645,218076.11
1646,154824.53
1647,152912.61
1648,137594.73
1649,150718.23
1650,120343.46
1651,124894.42
1652,91887.48
1653,82388.85
1654,136895.28
1655,170174.08
1656,141399.69
1657,135979.17
1658,145398.48
1659,115969.695
1660,160133.6
1661,468211.38
1662,388995.3
1663,397503.5
1664,553136.9
1665,279326.7
1666,359184.4
1667,360050.5
1668,324046.38
1669,278895.3
1670,342366.56
1671,313153.75
1672,517703.94
1673,287496.72
1674,226707.48
1675,225648.36
1676,223852.52
1677,197190.7
1678,567761.2
1679,432959.53
1680,318930.03
1681,232392.98
1682,317368.94
1683,191973.39
1684,176475.02
1685,181803.55
1686,170789.78
1687,168824.75
1688,195640.42
1689,189891.14
1690,191207.45
1691,186097.98
1692,247435.5
1693,160677.72
1694,185399.67
1695,153757.73
1696,281243.75
1697,158015.36
1698,365844.16
1699,259219.39
1700,229436.95
1701,281682.5
1702,255267.25
1703,236171.89
1704,300026.5
1705,225416.08
1706,493911.8
1707,215383.12
1708,200616.2
1709,282152.0
1710,208095.1
1711,257999.92
1712,245045.92
1713,304415.5
1714,205637.48
1715,210291.73
1716,182373.83
1717,165641.16
1718,134761.89
1719,202030.56
1720,216770.31
1721,151871.81
1722,125226.87
1723,159654.3
1724,206388.3
1725,251845.16
1726,178695.52
1727,164080.36
1728,194737.08
1729,160494.47
1730,150747.64
1731,131688.62
1732,142648.4
1733,130583.79
1734,131139.39
1735,145739.2
1736,117373.79
1737,402538.3
1738,204526.17
1739,229465.55
1740,238159.42
1741,196435.58
1742,175178.1
1743,180744.78
1744,320254.53
1745,218439.55
1746,189083.27
1747,196142.81
1748,273714.44
1749,149505.36
1750,133503.05
1751,242890.92
1752,125284.69
1753,160195.95
1754,191652.23
1755,179025.33
1756,134039.27
1757,121311.49
1758,154092.28
1759,170074.08
1760,160273.52
1761,142896.3
1762,173587.38
1763,167572.38
1764,122211.12
1765,200539.7
1766,204366.02
1767,272497.62
1768,144837.83
1769,167890.23
1770,142634.02
1771,131240.25
1772,124313.48
1773,156835.86
1774,176902.95
1775,138277.9
1776,129561.664
1777,114496.695
1778,134166.23
1779,133203.33
1780,172430.06
1781,133748.33
1782,103877.4
1783,133625.11
1784,97018.61
1785,130005.16
1786,183475.2
1787,152432.64
1788,62429.023
1789,102303.94
1790,80261.055
1791,252071.4
1792,166064.8
1793,146545.45
1794,137271.83
1795,128714.48
1796,129963.74
1797,130999.51
1798,118651.59
1799,108768.79
1800,129723.734
1801,123899.82
1802,127772.59
1803,143050.12
1804,149631.23
1805,129947.31
1806,121941.71
1807,143051.23
1808,120382.99
1809,129252.07
1810,144566.84
1811,120655.234
1812,120810.17
1813,128354.72
1814,98007.69
1815,55948.56
1816,91383.6
1817,116662.586
1818,157805.64
1819,135912.8
1820,70083.23
1821,113465.74
1822,133021.53
1823,68707.02
1824,111832.234
1825,130204.5
1826,118906.62
1827,102481.99
1828,116558.48
1829,116045.95
1830,148115.19
1831,143886.56
1832,103117.836
1833,146650.45
1834,127954.12
1835,107748.02
1836,126584.836
1837,110489.95
1838,110166.45
1839,87758.47
1840,133608.23
1841,135305.89
1842,86910.85
1843,149595.61
1844,138547.55
1845,136363.98
1846,152178.05
1847,183518.92
1848,64880.227
1849,124527.76
1850,117345.7
1851,148532.0
1852,125095.22
1853,142812.39
1854,157231.47
1855,96806.24
1856,196751.11
1857,166351.67
1858,141796.52
1859,117844.43
1860,160395.0
1861,117598.055
1862,332238.53
1863,311259.53
1864,311216.06
1865,341111.72
1866,332005.97
1867,226316.23
1868,325794.0
1869,220899.03
1870,226681.42
1871,248198.95
1872,178124.67
1873,246327.08
1874,150339.3
1875,209827.48
1876,197234.42
1877,211356.89
1878,224758.89
1879,129030.02
1880,127638.99
1881,352939.44
1882,246756.55
1883,194221.89
1884,203489.8
1885,228672.98
1886,306442.38
1887,191674.89
1888,277052.88
1889,171426.08
1890,137404.62
1891,146656.83
1892,99519.31
1893,139702.64
1894,123210.16
1895,155097.05
1896,137424.8
1897,123829.64
1898,127655.12
1899,140196.38
1900,145490.06
1901,171018.27
1902,161894.69
1903,172090.4
1904,139176.77
1905,186006.08
1906,163943.8
1907,199370.48
1908,83159.19
1909,131342.23
1910,108424.414
1911,193488.3
1912,272207.75
1913,148132.89
1914,70655.305
1915,331098.97
1916,76187.85
1917,215657.25
1918,152961.36
1919,165239.64
1920,163572.22
1921,468573.1
1922,332491.97
1923,254604.3
1924,273131.62
1925,204326.28
1926,431093.7
1927,135374.44
1928,168141.05
1929,134604.36
1930,137109.25
1931,140465.05
1932,143496.77
1933,186041.66
1934,187545.88
1935,181565.7
1936,195832.3
1937,177224.27
1938,171855.95
1939,224592.14
1940,183118.88
1941,172574.14
1942,185067.36
1943,187973.92
1944,316184.6
1945,376628.84
1946,86751.664
1947,287215.2
1948,175756.61
1949,255864.27
1950,163071.78
1951,272996.44
1952,201400.89
1953,165562.33
1954,165561.14
1955,131254.83
1956,459702.94
1957,156730.27
1958,324113.16
1959,153506.45
1960,114909.766
1961,114841.24
1962,86180.734
1963,88569.914
1964,119784.945
1965,143546.92
1966,154635.14
1967,300281.22
1968,414167.03
1969,425001.38
1970,481143.5
1971,500537.0
1972,416861.56
1973,247727.95
1974,314433.88
1975,572867.0
1976,271299.8
1977,408078.0
1978,393359.97
1979,250164.23
1980,171252.8
1981,344007.2
1982,211337.77
1983,186131.7
1984,161661.2
1985,241965.39
1986,220010.23
1987,152048.86
1988,176243.19
1989,193881.67
1990,212683.44
1991,223264.39
1992,204978.73
1993,181509.8
1994,252991.33
1995,180127.52
1996,249388.42
1997,286422.88
1998,396967.88
1999,257292.75
2000,334799.94
2001,267699.3
2002,243813.92
2003,237358.53
2004,282780.28
2005,211005.36
2006,203377.17
2007,250645.72
2008,190879.3
2009,203382.81
2010,186367.1
2011,134489.89
2012,172758.55
2013,195549.36
2014,195077.75
2015,192008.58
2016,207102.58
